"id","source_id","Slastname","Sfirstname","target_id","Tlastname","Tfirstname","relation","collab"
"1","nf7720308","Abhisheki","Balwantrao","nm7720308","Abhisheki","Jitendra","parent-child","0"
"2","nf7720308","Abhisheki","Balwantrao","nf0542195","Mangeshkar","Dinanath","sibling","0"
"3","nm7720308","Abhisheki","Jitendra","nf7720309","Abhisheki","Shounak","parent-child","0"
"4","nm1027679","Adarsh","B. K.","nm2104913","Adarsh","Taran","parent-child","0"
"5","nm2655625","Agnihotri","Alvira Khan","nm0006795","Khan","Salman","sibling","22"
"6","nm0013158","Agnihotri","Atul","nm2655625","Agnihotri","Alvira Khan","marriage","6"
"7","nm0013159","Agnihotri","Rati","nm4858207","Virwani","Tanuj","parent-child","1"
"8","nm0038020","Ahuja","Arun","nm0332871","Ahuja","Govinda","parent-child","0"
"9","nm0038020","Ahuja","Arun","nm0222469","Ahuja","Nirmala","marriage","4"
"10","nm0222469","Ahuja","Nirmala","nm0332871","Ahuja","Govinda","parent-child","0"
"11","nm0015287","Akhtar","Javed","nm1027719","Akhtar","Farhan","parent-child","19"
"12","nm0015287","Akhtar","Javed","nm0015295","Akhtar","Zoya","parent-child","11"
"14","nm0004699","Ali","Lucky","nm1815193","Ali","Pucky","sibling","1"
"15","nm5934356","Ali","Macky","nm0004699","Ali","Lucky","sibling","2"
"16","nm5934356","Ali","Macky","nm1815193","Ali","Pucky","sibling","0"
"17","nf0576454","Ali","Madhu","nm0004699","Ali","Lucky","parent-child","0"
"18","nf0576454","Ali","Madhu","nm5934356","Ali","Macky","parent-child","0"
"19","nf0576454","Ali","Madhu","nm1815193","Ali","Pucky","parent-child","0"
"20","nf0576454","Ali","Madhu","nm0576454","Ali","Mehmood","marriage","0"
"21","nm0576454","Ali","Mehmoood","nf0576455","Ali","(Baby) Ginny","parent-child","0"
"22","nm0576454","Ali","Mehmood","nm0004699","Ali","Lucky","parent-child","6"
"23","nm0576454","Ali","Mehmood","nm5934356","Ali","Macky","parent-child","2"
"24","nm0576454","Ali","Mehmood","nm1815193","Ali","Pucky","parent-child","1"
"25","nm0576454","Ali","Mehmood","nm0612618","Mumtaz","Minoo","sibling","16"
"26","nm0019462","Ali","Mumtaz","nm0019402","Ali","Anwar","parent-child","1"
"27","nm0019462","Ali","Mumtaz","nm0576454","Ali","Mehmood","parent-child","5"
"28","nm0019462","Ali","Mumtaz","nm0612618","Mumtaz","Minoo","parent-child","1"
"31","nf0080321","Ali","Shirin","nf0080322","Ali","Poornima","sibling","0"
"32","nf0080321","Ali","Shirin","nm0080315","Bhatt","Mahesh","parent-child","0"
"33","nf0080321","Ali","Shirin","nm0080319","Bhatt","Mukesh","parent-child","0"
