"id","hashid","year_entry","last_name","first_name","profession","Wiki","notes","year_b","year_death"
"nf0000820","581c706d70a5c6c07635c899503fbc0b","1969","Bachchan","Teji","relative",NULL,NULL,NULL,NULL
"nf0000821","44702962c62c27d7d53c9e939fc8bbf7","1997","Nanda","Shweta Bachchan","relative",NULL,NULL,NULL,NULL
"nf0000822","453840e74b33071f21882de0383b9953","1969","Bachchan","Ajitabh","relative",NULL,NULL,NULL,NULL
"nf0000823","cfac441ad254dbac866ae3d0237adf51","1969","Bachchan","Naina","relative",NULL,NULL,NULL,NULL
"nf0001408","64f1bfdd4629ea8282ab3b1bc5dd55b8","1974","Kapur","Sheel Kanta","relative",NULL,NULL,NULL,NULL
"nf0001409","1f25a716755cbee6508203ff65230db0","1974","Kapur","Neelu","relative",NULL,NULL,NULL,NULL
"nf0001410","607c806167fcbd090d670464d230dc19","1974","Kapur","Aruna","relative",NULL,NULL,NULL,NULL
"nf0004293","4d8c8636c60b81163982040c4a1c89a3","1997","Nanda","Ritu Kapoor","relative",NULL,NULL,NULL,NULL
"nf0004294","8219dc526bf4d7e11f3dbb92f03b260b","1997","Nanda","Nikhil","relative",NULL,NULL,NULL,NULL
"nf0004434","802015a0fc9f111fc9680dfc6b26dcfb","1969","Kapoor","Neila Devi","relative",NULL,NULL,NULL,NULL
"nf0004487","4ad4313b8643bcc666c48496e05018c9","1995","Mehta","Jay","relative",NULL,NULL,NULL,NULL
"nf0004571","861dddac70428d85d378852d087e7fbf","1981","Dutt","Namrata","relative",NULL,NULL,NULL,NULL
"nf0006357","56117398e3b2f7b96f0795e49d1c70f0","1935","Samarth","Kumarsen","director",NULL,NULL,NULL,NULL
"nf0006371","946992fe5c6f64b3f6c2650e538b898f",NULL,NULL,"Rahat","relative",NULL,"wife of Mehboob Khan and Sultan(Saira banu's brother)",NULL,NULL
"nf0025613","851c2dfa8a9d744edd54112d56367a3b","1948","Anand","Inder Raj's brother","relative",NULL,NULL,NULL,NULL
"nf0039339","8882dfa283679e5b027d1b83646ed30b",NULL,"Begum","Sikandara","relative",NULL,NULL,NULL,NULL
"nf0047009","6a1a76566cbb83c1c2373c7acdbe27f6","1941","Brother","Rattan Bai's","relative",NULL,NULL,NULL,NULL
"nf0049384","61cfb693ae4e5f80b4367f40b6f927cf",NULL,NULL,"Suchitra","relative",NULL,NULL,NULL,NULL
"nf0052570","731415ad6dd01d09f7046deb80a8d644",NULL,NULL,"Sultan","relative",NULL,"Brother of Saira Banu",NULL,NULL
"nf0080205","9bc06d4443261cde6179c1148253cae7","1995","Chopra","Punita","relative",NULL,NULL,NULL,NULL
"nf0080318","e156cf5d9dc7942260ba49a50bcf5e69","1970","Darshan","Sheila","relative",NULL,NULL,NULL,NULL
"nf0080321","9a1287e0b26b23ee35744e7348d6cd5d","1949","Ali","Shirin","relative",NULL,NULL,NULL,NULL
"nf0080322","dd704c3baebc1029bb2ff2b973e0b75d","1949","Ali","Poornima","actor",NULL,NULL,NULL,NULL
"nf0080323","c190a37529e3bc36bd517ea1eac86c7f","1970","Bhatt","Heena","relative",NULL,NULL,NULL,NULL
"nf0080326","ca53d25f8cfdcba3539f821ad65df315","1970","Bhatt","Sister of Mahesh","relative",NULL,NULL,NULL,NULL
"nf0080329","6521920c36c7d09bfb11bd06caf029a7","1949","Sister","Shirin Ali's","relative",NULL,NULL,NULL,NULL
"nf0080331","fe3fb8a57871d248d1537a2ea0323907","1999","Hashmi","Anwar","director",NULL,NULL,NULL,NULL
"nf0159148","5de84602ff5db323c36a7766efea47d5","1970","Singh","Mohinder","relative",NULL,NULL,NULL,NULL
"nf0159149","ecbe207704968a423859629471ef9cc5","1970","Chopra","Pamela","music/producer/other",NULL,NULL,NULL,NULL
"nf0159160","554fbbdb6f7d8b76008e3c415072f719","1955","Chopra","Prerana","relative",NULL,NULL,NULL,NULL
"nf0244870","4a327b870f84a36d53861814baa74bd1","1978","Lajmi","Lalita","other",NULL,NULL,NULL,NULL
"nf0307230","e8d16ec16c1ec6e1267b6ddabd9ebb1e","1962","Singh","Darshi","relative",NULL,NULL,NULL,NULL
"nf0332871","f7ddb4a72a52d371ed8abb536e64b45e",NULL,"Khanna","Kamini","relative",NULL,NULL,NULL,NULL
"nf0332872","4c715e0b1726da77cfa3d623e4def286",NULL,"Anand","Pushpa","relative",NULL,NULL,NULL,NULL
"nf0332873","f13e5ea4a32b350aec05db0b1fd1e537",NULL,"Shah","Padma","relative",NULL,NULL,NULL,NULL
"nf0420090","ed3b4afa8dcb9d41b33e24b178e6ca55","1995","Kapoor","Sashi/Madhu","relative",NULL,NULL,NULL,NULL
"nf0433872","8625f79b87f133eabf5d7ef8f70aaae5","1957","Ganguly","Rupa","relative",NULL,NULL,NULL,NULL
"nf0438493","e996edfc7cf9d628dcaaab232905dc19","1984","Kapoor","Sunita","other",NULL,NULL,NULL,NULL
"nf0451173","cf0e27f1d0aee74311e9a3526ef10d24",NULL,"Hussain","Aashiq","relative",NULL,NULL,NULL,NULL
"nf0451261","5e457b6f89c2b348b7a7d7964419eb7a","1983","Amrohi","Tajdar's wife","relative",NULL,NULL,NULL,NULL
"nf0451863","906adc47032397dc0daf75fc48258153",NULL,"Khote","Harin","relative",NULL,NULL,NULL,NULL
"nf0474801","b2dacb85f4cd7d295536f91d14a17eab",NULL,NULL,"Saeeda","relative",NULL,"Dilip Kumar's sister
",NULL,NULL
"nf0474802","1463b93940ab7ac3b0909d312f6262f9",NULL,NULL,"Akhtar","relative",NULL,"Dilip Kumar's sibling",NULL,NULL
"nf0527451","79a7987282f6267178de2f5dc2654c38","1989","Luthria","Arjun","relative",NULL,NULL,NULL,NULL
"nf0527452","0464c25a389a40e8150a68839562a223","1989","Luthria","Milan's Mother","relative",NULL,NULL,NULL,NULL
"nf0534865","7d8691f834de9c49129887f1fd73e491","1965",,"Raghunath","relative",NULL,NULL,NULL,NULL
"nf0542195","dd0dcfcd793f211c37ac8c9c96e7933e","1942","Mangeshkar","Dinanath","music",NULL,NULL,NULL,NULL
"nf0576454","02bc4690a7296a9bf867ec813e6c03f1","1943","Ali","Madhu","relative",NULL,NULL,NULL,NULL
"nf0576455","5aa0f7cdc83cd310355112f9f003ae58","0","Ali","(Baby) Ginny","actor",NULL,NULL,NULL,NULL
"nf0613417","aa5c29575003c7e7d493d861e2d0f809",NULL,"Khan","Talat","relative",NULL,"sister/Raza Murad; mother/sonam Murad
",NULL,NULL
"nf0620786","0654d58ec74ae3b5bfc496dca23935c3",NULL,"Karnataki","Jaiprakash","relative",NULL,NULL,NULL,NULL
"nf0643350","06ee869767272bb21750d60e6baa0b47","1967","Oberoi","Suresh's brother","relative",NULL,NULL,NULL,NULL
"nf0660788","5e50b07fb2b9e5d41d95bfc9c319e35b",NULL,"Haq","Masruul","relative",NULL,NULL,NULL,NULL
"nf0788392","11346a8808ee67f5a8f80e620701a0b7",NULL,"Shantaram","Madhura","relative",NULL,NULL,NULL,NULL
"nf0794484","868f5bb0c5914fa1a823dcdbb4d25543","1958","Shivdasani","Hari's brother","relative",NULL,NULL,NULL,NULL
"nf0802688","e76aaaa81d95c45fe201eefe87e01aec","1957","Sippy","Mohini","relative",NULL,NULL,NULL,NULL
"nf0802689","c05673534e040293c66e4dd8c2569062","1968","Sippy","Sunita","relative",NULL,NULL,NULL,NULL
"nf1033012","bb20270f24dc2d0577edb675e5586c59",NULL,"Brother","Jayshree T's","relative",NULL,NULL,NULL,NULL
"nf1184734","393013db550e933e09dd2be018bac8c5","1999","Deol","Veerta","relative",NULL,NULL,NULL,NULL
"nf1343476","187de15f65853dc2a82b666161ee5d37",NULL,NULL,"Rita","relative",NULL,NULL,NULL,NULL
"nf1380425","8edf9c17e62a06abd591078e74c4393d",NULL,"Pandit","Pratap Narayan","relative/music",NULL,NULL,NULL,NULL
"nf1380427","9bf1d786c8eac8d69d6ce2f0fbac1c75",NULL,"Pandit","Maniram","relative/music",NULL,NULL,NULL,NULL
